Andrei are mere
Ana are pere
NU are nimeni nimic
aceasta este prima propozitie
aceasta este a doua propozitie
aceasta este a treia propozitie
aceasta este a patra propozitie
aceasta este a cincea propozitie
aceasta este a sasea propozitie
aceasta este a saptea propozitie
aceasta este a opta propozitie
aceasta este a noua propozitie
aceasta este a zecea propozitie
aceasta este a unsprezecea propozitie
aceasta este a douasprezecea propozitie
aceasta este a treisprezecea propozitie
aceasta este a paisprezecea propozitie
aceasta este a cincisprezecea propozitie
